Time_min,Media,Replicate,OD
0,LB,A,0.2011
0,Bile,A,0.2312
0,SDS,A,0.1914
0,LB,B,0.191
0,Bile,B,0.2492
0,SDS,B,0.197
0,LB,C,0.1924
0,Bile,C,0.2363
0,SDS,C,0.2128
32,LB,A,0.2095
32,Bile,A,0.244
32,SDS,A,0.1944
32,LB,B,0.1889
32,Bile,B,0.2566
32,SDS,B,0.2073
32,LB,C,0.1801
32,Bile,C,0.2478
32,SDS,C,0.2153
91,LB,A,0.1755
91,Bile,A,0.2294
91,SDS,A,0.1941
91,LB,B,0.1395
91,Bile,B,0.2499
91,SDS,B,0.2019
91,LB,C,0.1176
91,Bile,C,0.2308
91,SDS,C,0.2228
158,LB,A,0.1461
158,Bile,A,0.2559
158,SDS,A,0.212
158,LB,B,0.0875
158,Bile,B,0.2118
158,SDS,B,0.2092
158,LB,C,0.0881
158,Bile,C,0.2005
158,SDS,C,0.2387
220,LB,A,0.1124
220,Bile,A,0.1894
220,SDS,A,0.1994
220,LB,B,0.0824
220,Bile,B,0.1809
220,SDS,B,0.1899
220,LB,C,0.0872
220,Bile,C,0.1306
220,SDS,C,0.2323
262,LB,A,0.1113
262,Bile,A,0.15
262,SDS,A,0.1969
262,LB,B,0.072
262,Bile,B,0.1554
262,SDS,B,0.1723
262,LB,C,0.0809
262,Bile,C,0.1305
262,SDS,C,0.2252
294,LB,A,0.1099
294,Bile,A,0.1386
294,SDS,A,0.1759
294,LB,B,0.0784
294,Bile,B,0.1455
294,SDS,B,0.2063
294,LB,C,0.0815
294,Bile,C,0.1135
294,SDS,C,0.214
331,LB,A,0.1058
331,Bile,A,0.1307
331,SDS,A,0.1758
331,LB,B,0.0762
331,Bile,B,0.1228
331,SDS,B,0.2085
331,LB,C,0.0765
331,Bile,C,0.0895
331,SDS,C,0.2187